statename,district
ANDHRA PRADESH,Palnadu
ANDHRA PRADESH,GUNTUR
ANDHRA PRADESH,SPSR NELLORE
ANDHRA PRADESH,PRAKASAM
ANDHRA PRADESH,Bapatla
TELANGANA,Mulugu
TELANGANA,JAYASHANKAR BHUPALAPALLY
TELANGANA,SIDDIPET
ANDHRA PRADESH,WEST GODAVARI
ANDHRA PRADESH,Eluru
TELANGANA,JANGOAN
TELANGANA,Jagitial
ANDHRA PRADESH,KRISHNA
ANDHRA PRADESH,NTR
TELANGANA,KARIMNAGAR
ANDHRA PRADESH,Konaseema
ANDHRA PRADESH,EAST GODAVARI
ANDHRA PRADESH,Anakapalli
ANDHRA PRADESH,VISAKHAPATANAM
ANDHRA PRADESH,Alluri Sitharama Raju
ANDHRA PRADESH,Kakinada
TELANGANA,KAMAREDDY
ANDHRA PRADESH,Parvathipuram Manyam
TELANGANA,NIZAMABAD
ANDHRA PRADESH,VIZIANAGARAM
ANDHRA PRADESH,SRIKAKULAM
TELANGANA,SANGAREDDY
TELANGANA,MEDAK
ASSAM,DIBRUGARH
ASSAM,LAKHIMPUR
ASSAM,DHEMAJI
ASSAM,WEST KARBI ANGLONG
ASSAM,KARBI ANGLONG
ASSAM,HOJAI
ASSAM,CACHAR
ASSAM,NAGAON
ASSAM,MARIGAON
ASSAM,GOLAGHAT
ASSAM,JORHAT
ASSAM,MAJULI
ASSAM,SIVASAGAR
ASSAM,CHARAIDEO
ASSAM,TINSUKIA
ASSAM,BONGAIGAON
ASSAM,GOALPARA
ASSAM,DHUBRI
ASSAM,CHIRANG
ASSAM,SOUTH SALMARA MANCACHAR
ASSAM,KOKRAJHAR
MEGHALAYA,RI BHOI
ASSAM,KAMRUP METRO
ASSAM,KAMRUP
ASSAM,BAKSA
ASSAM,BARPETA
ASSAM,Bajali
ASSAM,NALBARI
ASSAM,KARIMGANJ
ASSAM,HAILAKANDI
ASSAM,DIMA HASAO
ASSAM,DARRANG
ASSAM,UDALGURI
ASSAM,SONITPUR
ASSAM,Biswanath
BIHAR,BEGUSARAI
BIHAR,KHAGARIA
BIHAR,DARBHANGA
BIHAR,MADHUBANI
BIHAR,MUZAFFARPUR
BIHAR,SAMASTIPUR
BIHAR,PURBI CHAMPARAN
BIHAR,SUPAUL
BIHAR,VAISHALI
ANDHRA PRADESH,CHITTOOR
ANDHRA PRADESH,Annamayya
ANDHRA PRADESH,Y.S.R.
ANDHRA PRADESH,Sri Sathya Sai
ANDHRA PRADESH,ANANTAPUR
ANDHRA PRADESH,KURNOOL
ANDHRA PRADESH,Nandyal
ANDHRA PRADESH,Tirupati
TELANGANA,BHADRADRI KOTHAGUDEM
TELANGANA,KHAMMAM
TELANGANA,MAHABUBABAD
TELANGANA,KUMURAM BHEEM ASIFABAD
TELANGANA,MANCHERIAL
TELANGANA,HANUMAKONDA
TELANGANA,WARANGAL
TELANGANA,RAJANNA SIRCILLA
TELANGANA,PEDDAPALLI
TELANGANA,WANAPARTHY
TELANGANA,Narayanpet
TELANGANA,JOGULAMBA GADWAL
TELANGANA,MAHABUBNAGAR
TELANGANA,VIKARABAD
TELANGANA,YADADRI BHUVANAGIRI
TELANGANA,NALGONDA
TELANGANA,SURYAPET
TELANGANA,RANGA REDDY
TELANGANA,NAGARKURNOOL
TELANGANA,HYDERABAD
TELANGANA,MEDCHAL MALKAJGIRI
BIHAR,GAYA
BIHAR,JEHANABAD
BIHAR,ARWAL
BIHAR,JAMUI
BIHAR,SHEIKHPURA
BIHAR,LAKHISARAI
BIHAR,MUNGER
BIHAR,NALANDA
BIHAR,PATNA
BIHAR,NAWADA
BIHAR,ROHTAS
BIHAR,KAIMUR (BHABUA)
CHHATTISGARH,RAIPUR
CHHATTISGARH,DANTEWADA
CHHATTISGARH,BIJAPUR
CHHATTISGARH,KONDAGAON
CHHATTISGARH,SUKMA
CHHATTISGARH,BASTAR
CHHATTISGARH,KANKER
CHHATTISGARH,NARAYANPUR
CHHATTISGARH,JANJGIR-CHAMPA
CHHATTISGARH,BILASPUR
CHHATTISGARH,KORBA
CHHATTISGARH,MUNGELI
CHHATTISGARH,Gaurella Pendra Marwahi
CHHATTISGARH,DURG
CHHATTISGARH,BALOD
CHHATTISGARH,BEMETARA
CHHATTISGARH,RAJNANDGAON
GUJARAT,BHAVNAGAR
GUJARAT,BOTAD
GUJARAT,RAJKOT
GUJARAT,JAMNAGAR
GUJARAT,MORBI
GUJARAT,DEVBHUMI DWARKA
GUJARAT,JUNAGADH
GUJARAT,GIR SOMNATH
GUJARAT,KACHCHH
GUJARAT,PORBANDAR
GUJARAT,SURENDRANAGAR
GUJARAT,AHMADABAD
GUJARAT,ANAND
GUJARAT,Mahisagar
GUJARAT,KHEDA
GUJARAT,DANG
GUJARAT,TAPI
GUJARAT,SURAT
GUJARAT,NARMADA
GUJARAT,BHARUCH
GUJARAT,NAVSARI
GUJARAT,PANCH MAHALS
GUJARAT,DOHAD
GUJARAT,CHHOTAUDEPUR
GUJARAT,VADODARA
CHHATTISGARH,KABIRDHAM
CHHATTISGARH,SURGUJA
CHHATTISGARH,SURAJPUR
CHHATTISGARH,KOREA
CHHATTISGARH,BALRAMPUR
CHHATTISGARH,RAIGARH
CHHATTISGARH,JASHPUR
CHHATTISGARH,MAHASAMUND
CHHATTISGARH,BALODA BAZAR
CHHATTISGARH,DHAMTARI
CHHATTISGARH,GARIYABAND
DELHI,NORTH EAST
DELHI,NORTH
DELHI,NORTH WEST
DELHI,SOUTH
DELHI,NEW DELHI
DELHI,WEST
DELHI,SOUTH WEST
GUJARAT,BANAS KANTHA
GUJARAT,GANDHINAGAR
GUJARAT,MAHESANA
GUJARAT,PATAN
GUJARAT,ARVALLI
GUJARAT,SABAR KANTHA
GUJARAT,AMRELI
GUJARAT,VALSAD
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DADRA AND NAGAR HAVELI
HARYANA,AMBALA
HARYANA,PANCHKULA
HARYANA,YAMUNANAGAR
HARYANA,CHARKI DADRI
HARYANA,BHIWANI
HARYANA,FARIDABAD
HARYANA,PALWAL
HARYANA,GURUGRAM
HARYANA,NUH
HARYANA,REWARI
HARYANA,MAHENDRAGARH
HARYANA,HISAR
HARYANA,FATEHABAD
HARYANA,SIRSA
HARYANA,JIND
HARYANA,KARNAL
HARYANA,PANIPAT
HARYANA,KURUKSHETRA
HARYANA,KAITHAL
HARYANA,JHAJJAR
HARYANA,ROHTAK
HARYANA,SONIPAT
HIMACHAL PRADESH,CHAMBA
HIMACHAL PRADESH,KANGRA
HIMACHAL PRADESH,HAMIRPUR
HIMACHAL PRADESH,BILASPUR
HIMACHAL PRADESH,UNA
HIMACHAL PRADESH,LAHUL AND SPITI
HIMACHAL PRADESH,KULLU
HIMACHAL PRADESH,MANDI
HIMACHAL PRADESH,SHIMLA
HIMACHAL PRADESH,KINNAUR
BIHAR,SHEOHAR
BIHAR,SITAMARHI
BIHAR,KATIHAR
BIHAR,KISHANGANJ
BIHAR,ARARIA
BIHAR,PURNIA
BIHAR,MADHEPURA
BIHAR,SAHARSA
BIHAR,SARAN
BIHAR,GOPALGANJ
BIHAR,SIWAN
BIHAR,PASHCHIM CHAMPARAN
BIHAR,AURANGABAD
BIHAR,BANKA
BIHAR,BHAGALPUR
BIHAR,BHOJPUR
BIHAR,BUXAR
UTTAR PRADESH,BALLIA
TELANGANA,Nirmal
TELANGANA,ADILABAD
MAHARASHTRA,JALGAON
MAHARASHTRA,NASHIK
MAHARASHTRA,NANDED
MAHARASHTRA,OSMANABAD
MAHARASHTRA,LATUR
MAHARASHTRA,HINGOLI
MAHARASHTRA,JALNA
MAHARASHTRA,PARBHANI
MANIPUR,KANGPOKPI
MANIPUR,CHURACHANDPUR
MANIPUR,BISHNUPUR
MANIPUR,CHANDEL
MANIPUR,IMPHAL WEST
MANIPUR,JIRIBAM
MANIPUR,THOUBAL
MANIPUR,KAKCHING
MANIPUR,SENAPATI
MANIPUR,IMPHAL EAST
MANIPUR,KAMJONG
MANIPUR,TAMENGLONG
MANIPUR,UKHRUL
MANIPUR,TENGNOUPAL
MANIPUR,NONEY
MANIPUR,PHERZAWL
MIZORAM,AIZAWL
MIZORAM,KOLASIB
MIZORAM,CHAMPHAI
MIZORAM,LUNGLEI
MIZORAM,Hnahthial
MIZORAM,KHAWZAWL
MIZORAM,LAWNGTLAI
MIZORAM,SERCHHIP
MIZORAM,MAMIT
MIZORAM,SAIHA
